,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,2.01,2.89,-0.88,23,94,1981,1979,2001,2010,bottom-third,
3,2,5.32,5.99,-0.67,40,77,1944,1978,2002,2010,normal,
4,3,8.18,9.45,-1.27,28,89,1961,1978,2010,2009,bottom-third,
5,4,15.08,12.84,2.24,98,19,1961,1978,2010,2009,top-third,
6,5,18.38,16.54,1.84,85,32,1931,1978,2010,2009,top-third,
7,6,22.85,20.23,2.62,94,23,1931,1978,2010,2007,top-third,
8,7,26.87,24.03,2.84,96,21,1931,1978,2010,2009,top-third,
9,8,32.44,27.78,4.66,103,14,1965,1978,2010,2009,top-third,
10,9,35.07,31.32,3.75,99,18,1965,1978,2009,2010,top-third,
11,10,37.16,34.61,2.55,88,29,1965,1978,2008,2010,top-third,
12,11,40.80,37.69,3.11,89,28,1965,1978,2010,2009,top-third,
13,12,43.52,40.22,3.30,91,26,1965,1978,2010,2009,top-third,
